Unnamed: 0,EmpID,Sum_Quantity,Mean_Quantity,Min_Quantity,Max_Quantity,Employee Name,JobTitle,Region,StartDate,EndDate,FirstName,LastName,EmploymentDurationDays,SalesPerDay
13,900012483.0,1437.0,13.8173076923077,1.0,108.0,Eric Hardwick,Sales Associate V,N Central East,2009-04-06,2020-01-01,Eric,Hardwick,3922,0.366394696583376
14,900012723.0,2497.0,10.9517543859649,1.0,100.0,Gilbert Morales,Senior Sales Representative,N Central East,2008-05-27,2020-01-01,Gilberte,Morillas,4236,0.58947119924457
15,900012972.0,1800.0,10.4046242774566,1.0,104.0,Carolyn Andersen,Senior Sales Representative,Central East,2012-05-19,2018-08-14,Carolee,Anersen,2278,0.790166812993854
16,900013387.0,1642.0,11.2465753424658,1.0,101.0,Monty Urwen,Sales Associate III,Southeast,2008-09-26,2020-01-01,Monty,Urwen,4114,0.399124939231891
17,900013587.0,618.0,10.1311475409836,1.0,103.0,Ted Botton,Sales Associate I,Northwest,2016-05-12,2020-01-01,Teodorico,Botton,1329,0.465011286681716
18,900013598.0,953.0,10.7078651685393,1.0,92.0,Darrell Paul,Sales Associate,Southwest,2008-12-13,2020-01-01,Darrell,Pauley,4036,0.236124876114965
19,900013626.0,2584.0,10.9491525423729,1.0,102.0,Michele Cornes,Senior Sales Representative,Central East,2016-11-15,2020-01-01,Michele,Cornes,1142,2.26269702276708
20,900014032.0,1068.0,12.7142857142857,1.0,104.0,Bert Picheford,Sales Associate II,Central East,2006-01-30,2020-01-01,Engelbert,Picheford,5084,0.210070810385523
21,900014598.0,2310.0,15.0980392156863,1.0,109.0,Ben Dywer,Sales Associate II,Northeast,2019-07-20,2020-01-01,Bern,Dowyer,165,14.0
22,900014980.0,1362.0,11.7413793103448,1.0,104.0,Dante Hollington,Sales Associate III,Southeast,2008-02-05,2020-01-01,Dante,Hollington,4348,0.313247470101196
23,900015082.0,1887.0,10.9709302325581,1.0,104.0,Kristine Halloran,Sales Representative,Northeast,2019-09-20,2020-01-01,Kristine,Halloran,103,18.3203883495146
24,900015476.0,738.0,10.3943661971831,1.0,101.0,Alexis Golsworthy,Senior Sales Associate,N Central East,2018-04-06,2020-01-01,Alexis,Golsworthy,635,1.16220472440945
25,900015673.0,904.0,13.4925373134328,1.0,104.0,Patty Kingston,Sales Associate I,S Central West,2017-06-21,2020-01-01,Patty,Kinglake,924,0.978354978354978
26,900015938.0,2664.0,13.2537313432836,1.0,109.0,Janey Ebunoluwa,Sales Associate III,Northeast,2006-08-13,2020-01-01,Janey,Ebunoluwa,4889,0.544896706893025
27,900016088.0,1431.0,11.7295081967213,1.0,106.0,Melody Peterson,Sales Associate I,N Central West,2002-07-31,2020-01-01,Melody,Petren,6363,0.224893917963225
28,900016297.0,1284.0,9.37226277372263,1.0,104.0,Joseph Drydale,Sales Associate II,S Central East,2003-05-23,2020-01-01,Joseph,Drydale,6067,0.211636723256964
29,900016392.0,613.0,10.7543859649123,1.0,82.0,Sheila Aiskovitch,Sales Representative,Northwest,2018-04-23,2020-01-01,Sheilah,Aiskovitch,618,0.991909385113269
30,900016416.0,2050.0,11.9883040935673,1.0,103.0,Doreen Hatton,Sales Associate IV,Northeast,2013-10-13,2020-01-01,Doreen,Hatton,2271,0.902686041391458
31,900016602.0,1238.0,9.37878787878788,1.0,106.0,Tiffani Puckey,Sales Representative,Southeast,2007-06-07,2017-10-19,Tiffani,Puckey,3787,0.326907842619488
32,900017044.0,769.0,11.1449275362319,1.0,99.0,Morgan Smith,Senior Sales Representative,Southwest,2005-02-06,2020-01-01,Rodrique,Tucsell,5442,0.141308342521132
33,900017930.0,459.0,8.05263157894737,1.0,60.0,Lelia Duffy,Sales Associate I,S Central West,2015-03-26,2017-03-27,Lelia,Duffyn,732,0.627049180327869
34,900018190.0,2223.0,11.0597014925373,1.0,109.0,Anthony Smallpeace,Senior Sales Representative,Central East,2003-07-05,2020-01-01,Antony,Smallpeace,6024,0.36902390438247
35,900018460.0,1652.0,12.90625,1.0,102.0,Walter Cove,Senior Sales Associate,S Central East,2017-01-22,2020-01-01,Wolfie,Cove,1074,1.53817504655493
36,900018661.0,1941.0,10.6648351648352,1.0,106.0,Frank McOwan,Sales Associate IV,N Central East,2008-02-05,2019-07-05,Frank,McOwan,4168,0.465690978886756
37,900018689.0,1298.0,8.32051282051282,1.0,84.0,Hillary Stockey,Sales Associate II,S Central East,2016-03-26,2020-01-01,Hillary,Stockey,1376,0.943313953488372
38,900018996.0,1205.0,12.05,1.0,98.0,David Longman,Senior Sales Associate,S Central East,2018-11-19,2020-01-01,Dick,Pietraszek,408,2.95343137254902
39,900019250.0,392.0,10.0512820512821,1.0,74.0,Ruth Spencer,Sales Representative,Central East,2002-12-04,2020-01-01,Ruth,Spencelayh,6237,0.0628507295173961
40,900019311.0,704.0,7.25773195876289,1.0,88.0,Haley Aimable,Sales Associate I,Southeast,2018-11-24,2020-01-01,Hattie,Aimable,403,1.7468982630273
41,900019833.0,872.0,8.14953271028037,1.0,109.0,Corey Westbrook,Sales Associate I,Southwest,2018-12-27,2020-01-01,Cobb,Westbrook,370,2.35675675675676
42,900019884.0,628.0,9.96825396825397,1.0,92.0,Amanda Hebden,Sales Associate I,Southwest,2014-12-27,2020-01-01,Adelheid,Hebden,1831,0.342981977061715
43,900019978.0,665.0,10.0757575757576,1.0,88.0,Isabelle Cornfield,Sales Representative,S Central West,2012-09-24,2020-01-01,Uri,Corfield,2655,0.250470809792844
